,sklearn,sm,sm_pv
y-int,151.53120947985383,151.531209479854,151.23138560819848
age,-59.678120679773905,-59.67812067977316,
sex,-303.2981918942998,-303.29819189429975,-225.08855592767782
bmi,558.368545050867,558.3685450508668,628.3764001855523
bp,319.4862949283766,319.48629492837574,281.88297403526246
s1,-783.2791610734113,-783.279161073407,
s2,316.6500906077838,316.6500906077797,
s3,222.9979294171312,222.9979294171295,
s4,352.2095127088791,352.2095127088803,
s5,770.213103905985,770.2131039059841,569.5917208700845
s6,59.88750511441908,59.88750511441924,
